timestamp,y_true_dir,y_pred_dir_lgbm,y_pred_dir_reg,y_true_pct,y_pred_pct
2024-05-14 20:00:00,1,0,1,0.26614168729642307,0.0031828519007785355
2024-05-14 21:00:00,1,0,0,0.41402353789377916,-0.0725505246630785
2024-05-14 22:00:00,1,0,0,0.3098586117147964,-0.06056774626032142
2024-05-14 23:00:00,1,0,1,0.5703220446302737,0.22386111785400725
2024-05-15 00:00:00,1,1,1,0.853538547177783,3.388771634205771
2024-05-15 01:00:00,1,1,1,0.8088692946058105,2.991288245075556
2024-05-15 02:00:00,1,1,1,0.5981479913640056,2.733966572565269
2024-05-15 03:00:00,1,1,1,1.1299275431682962,2.432205454349998
2024-05-15 04:00:00,1,1,1,1.2515508885298854,2.814560860456375
2024-05-15 05:00:00,1,1,1,0.8695486485421616,2.7321536209583894
2024-05-15 06:00:00,1,1,1,2.8965951317525414,2.809471241172045
2024-05-15 07:00:00,1,1,1,3.136825701856606,2.4147787457717844
2024-05-15 08:00:00,1,1,1,3.792013035633163,2.9093708742784483
2024-05-15 09:00:00,1,1,1,3.3122596367947716,1.9629757145100872
2024-05-15 10:00:00,1,1,1,3.3259986364516045,1.7296084328479648
2024-05-15 11:00:00,1,1,1,4.129176313065512,2.1405782826831445
2024-05-15 12:00:00,1,1,1,3.0737060828551175,2.716302548313742
2024-05-15 13:00:00,1,1,1,2.9000098057571457,1.7049334929490993
2024-05-15 14:00:00,1,1,1,2.2184031007751863,1.2468924631508043
2024-05-15 15:00:00,1,1,1,1.7533844283926359,0.7057292948107236
2024-05-15 16:00:00,1,1,1,2.09549922350886,2.1654244438691816
2024-05-15 17:00:00,1,1,1,1.7832457242934943,1.8189292227393108
2024-05-15 18:00:00,1,1,1,0.5578745803234634,0.6154193158973985
2024-05-15 19:00:00,0,1,0,-0.030663772192398638,-0.10332623054761532
2024-05-15 20:00:00,0,0,1,-0.03239757036423239,0.36770288863446754
2024-05-15 21:00:00,1,0,1,0.17522019058914853,0.364490581888808
2024-05-15 22:00:00,0,0,0,-0.45823798367422425,-0.12623772037657696
2024-05-15 23:00:00,0,0,0,-0.6411908196325056,-0.43658411824298793
2024-05-16 00:00:00,0,0,1,-0.19030353838074748,0.022794915958814582
2024-05-16 01:00:00,1,0,1,0.23736856869161183,0.16779382228836218
2024-05-16 02:00:00,1,0,1,0.5880941915665897,0.17803154384057043
2024-05-16 03:00:00,1,0,0,0.5900685088788454,-0.06540512649054372
2024-05-16 04:00:00,1,0,1,0.5419266887118513,0.1467014355687464
2024-05-16 05:00:00,1,0,1,1.097276017341521,0.188416465185848
2024-05-16 06:00:00,1,0,0,0.08015689951232,-0.17266180598227018
2024-05-16 07:00:00,1,0,0,0.2803487373194585,-0.6777399893681395
2024-05-16 08:00:00,0,0,0,-1.0534695926459525,-0.6561536819399987
2024-05-16 09:00:00,0,0,0,-0.8224403670084162,-0.7797844253205544
2024-05-16 10:00:00,0,0,0,-1.5339279936418415,-0.4886441433810884
2024-05-16 11:00:00,0,0,0,-2.268757574755134,-0.8370189832093164
2024-05-16 12:00:00,0,0,0,-1.3464875026150858,-0.7895997699017816
2024-05-16 13:00:00,0,0,0,-1.7205390479593539,-1.0491670090649319
2024-05-16 14:00:00,0,0,0,-0.4951317632818876,-0.0013068249955427713
2024-05-16 15:00:00,0,0,0,-0.5422304360086447,-0.1076219020709683
2024-05-16 16:00:00,1,1,0,0.405156995649916,-0.054511003263258945
2024-05-16 17:00:00,1,1,1,0.36959771822412957,0.5056745964744873
2024-05-16 18:00:00,1,1,1,0.5935151433812598,0.32311580972927234
2024-05-16 19:00:00,1,0,1,0.23622862586548968,0.14815541034113158
2024-05-16 20:00:00,1,1,0,0.1717531815932564,-0.11130099703868303
2024-05-16 21:00:00,1,0,0,0.1871925983307273,-0.38688202153722206
2024-05-16 22:00:00,1,0,0,0.05019950635113409,-0.22664045010011014
2024-05-16 23:00:00,1,1,1,0.7124833353031298,0.1380931972099223
2024-05-17 00:00:00,1,1,1,0.6821537722705114,0.855765593390959
2024-05-17 01:00:00,1,1,1,1.600989518959361,1.1220806728282642
2024-05-17 02:00:00,1,1,1,1.1623281494007551,1.1359010093085824
2024-05-17 03:00:00,1,1,1,1.1586726320978493,0.7276563104542039
2024-05-17 04:00:00,1,1,1,1.6022016809008006,1.808965002303029
2024-05-17 05:00:00,1,1,1,0.7884322678843227,1.5313820197747776
2024-05-17 06:00:00,1,1,1,0.6434787302238105,1.1008862868702312
2024-05-17 07:00:00,0,1,1,-0.6671794181204891,0.40924866445203956
2024-05-17 08:00:00,1,1,1,0.9987752851608264,0.5712735860833359
2024-05-17 09:00:00,1,0,1,1.2821873242128556,0.37860050846148463
2024-05-17 10:00:00,1,0,1,0.6458750372929779,0.08939995522994303
2024-05-17 11:00:00,1,1,1,0.7317043704128848,0.48526566442589536
2024-05-17 12:00:00,1,1,1,0.6658785775287256,1.401224067030991
2024-05-17 13:00:00,1,1,1,1.674101760857165,2.06587141732238
2024-05-17 14:00:00,1,1,1,0.12474804158746525,0.7447250224850027
2024-05-17 15:00:00,0,1,0,-0.5721399328224999,-0.15584359191117192
2024-05-17 16:00:00,0,0,1,-0.23665026694311386,0.019708337435890053
2024-05-17 17:00:00,1,1,1,0.48196080148095743,0.567625021634743
2024-05-17 18:00:00,1,0,1,0.10417230976992987,0.5000595187951046
2024-05-17 19:00:00,0,0,0,-0.10140497873240531,-0.0031677077695139305
2024-05-17 20:00:00,1,0,0,0.026670653311401567,-0.001440249979757939
